iso3,clean_cooking_access,co2_pc,co2_total_mt,control_corruption,dependency_ratio,elec_access,energy_intensity,energy_use_pc,fdi_net_inflow_pct_gdp,fertility_rate,fossil_fuel_pct,gcf_pct_gdp,gdp_growth,gdp_pc_ppp_const,gini,gov_effectiveness,gross_fixed_capital_pct_gdp,gross_savings_pct_gdp,health_exp_pct_gdp,hightech_exports_pct,ict_service_exports_pct,internet_users,life_expectancy,patent_apps_resident,pm25_exposure,political_stability,population,poverty_215,regulatory_quality,renew_share,rnd_exp_pct_gdp,rule_of_law,secondary_enroll,tertiary_enroll,trade_pct_gdp,unemployment,urban_pct,voice_accountability
JAM,24,30,30,26,30,29,22,29,30,30,29,0,30,30,6,26,0,0,24,16,30,30,30,25,29,26,30,6,26,27,2,26,24,15,0,30,30,26
JOR,24,30,30,26,30,29,22,29,30,30,29,13,30,30,5,26,13,13,24,17,11,30,30,22,29,26,30,5,26,27,3,26,23,25,13,30,30,26
JPN,24,30,30,26,30,29,23,30,30,30,30,30,30,30,13,26,30,29,24,18,29,30,30,27,29,26,30,13,26,27,28,26,11,11,30,30,30,26
KAZ,24,30,30,26,30,29,22,29,30,30,26,30,30,30,22,26,30,30,24,16,30,30,30,24,29,26,30,22,26,27,28,26,20,20,30,30,30,26
KEN,24,30,30,26,30,29,22,30,30,30,30,30,30,30,6,26,30,30,24,14,30,30,30,24,29,26,30,6,26,27,5,26,16,12,30,30,30,26
KGZ,24,30,30,26,30,27,23,29,30,30,29,30,30,30,26,26,30,30,24,17,30,27,30,23,29,26,30,26,26,27,28,26,26,30,30,30,30,26
KHM,24,30,30,26,30,26,22,29,30,30,29,30,30,30,0,26,30,30,24,18,30,28,30,4,29,26,30,0,26,27,2,26,18,24,30,30,30,26
KIR,24,30,30,21,30,24,23,4,30,30,4,19,30,30,3,21,19,19,24,7,9,27,30,0,29,22,30,3,21,28,0,26,17,1,30,0,30,26
KNA,24,30,30,21,30,29,23,4,30,30,4,0,30,30,0,21,0,0,24,9,30,29,30,0,29,22,30,0,21,28,0,26,23,3,0,0,30,26
KOR,24,30,30,26,30,29,23,30,30,30,30,30,30,30,11,26,30,30,25,18,30,30,30,27,29,26,30,11,26,27,28,26,25,25,30,30,30,26
KWT,24,30,30,26,30,29,22,29,30,30,15,30,30,30,0,26,15,30,24,14,21,30,30,2,29,26,30,0,26,27,27,26,20,16,30,30,30,26
LAO,24,30,30,26,30,29,23,24,30,30,24,17,30,30,6,26,17,17,24,14,24,27,30,9,29,26,30,6,26,28,1,26,30,29,22,30,30,26
LBN,0,30,30,26,30,24,22,29,30,30,29,30,30,29,2,26,30,22,24,18,22,30,30,3,29,26,30,2,26,27,0,26,30,26,30,29,30,26
LBR,24,30,30,26,30,17,23,0,30,30,0,0,30,30,3,26,0,0,24,7,0,28,30,0,29,26,30,3,26,28,0,26,6,4,0,30,30,26
LBY,0,30,30,26,30,24,22,29,21,30,18,30,30,30,0,26,30,29,24,1,24,26,30,2,29,26,30,0,26,27,0,26,4,5,30,30,30,26
LCA,24,30,30,21,30,24,23,4,30,30,4,0,30,30,2,21,0,0,24,9,30,30,30,3,29,26,30,2,21,28,2,26,26,20,0,30,30,26
