region_id,country_region,year,e0,imr,e65,s_to_65,e80,exp_death_0,exp_death_65,exp_death_80,adult_gap_65,era,is_total_pop,in_primary_allowlist,label,sex,low_e0
ISL,Iceland,1863,35.22,222.73,8.31,0.1812,4.31,35.22,73.31,84.31,38.09,1850_1899,True,True,Iceland,both,True
ISL,Iceland,1864,34.97,235.65,10.56,0.2246,6.17,34.97,75.56,86.17,40.59,1850_1899,True,True,Iceland,both,True
ISL,Iceland,1865,34.24,226.21,10.06,0.2108,5.41,34.24,75.06,85.41,40.82,1850_1899,True,True,Iceland,both,True
ISL,Iceland,1866,27.28,274.33,5.66,0.0838,2.99,27.28,70.66,82.99,43.379999999999995,1850_1899,True,True,Iceland,both,True
ISL,Iceland,1867,37.67,248.58,12.47,0.2697,5.97,37.67,77.47,85.97,39.8,1850_1899,True,True,Iceland,both,True
ISL,Iceland,1868,34.79,257.2,11.52,0.2214999999999999,6.31,34.79,76.52,86.31,41.73,1850_1899,True,True,Iceland,both,True
ISL,Iceland,1869,28.17,309.61,8.73,0.1442999999999999,5.24,28.17,73.73,85.24,45.56,1850_1899,True,True,Iceland,both,True
ISL,Iceland,1870,38.44,218.48,10.7,0.2515,5.17,38.44,75.7,85.17,37.260000000000005,1850_1899,True,True,Iceland,both,True
ISL,Iceland,1871,35.14,246.18,10.57,0.2259,5.93,35.14,75.57,85.93,40.42999999999999,1850_1899,True,True,Iceland,both,True
ISL,Iceland,1872,25.31,334.27,10.2,0.1565,5.62,25.31,75.2,85.62,49.89,1850_1899,True,True,Iceland,both,True
ISL,Iceland,1873,36.69,196.32,9.18,0.2084,3.96,36.69,74.18,83.96,37.49000000000001,1850_1899,True,True,Iceland,both,True
ISL,Iceland,1874,39.63,165.75,12.75,0.3106,6.62,39.63,77.75,86.62,38.12,1850_1899,True,True,Iceland,both,True
ISL,Iceland,1875,36.61,180.41,13.2,0.2731,6.43,36.61,78.2,86.43,41.59,1850_1899,True,True,Iceland,both,True
ISL,Iceland,1879,39.49,139.76,9.75,0.2239999999999999,5.23,39.49,74.75,85.23,35.26,1850_1899,True,True,Iceland,both,True
ISL,Iceland,1881,35.96,224.48,11.8,0.2758,5.34,35.96,76.8,85.34,40.839999999999996,1850_1899,True,True,Iceland,both,True
ISL,Iceland,1882,17.94,411.1,10.4,0.0992,5.85,17.94,75.4,85.85,57.46000000000001,1850_1899,True,True,Iceland,both,True
ISL,Iceland,1883,29.78,271.23,10.33,0.1846,4.31,29.78,75.33,84.31,45.55,1850_1899,True,True,Iceland,both,True
ISL,Iceland,1890,36.76,228.09,9.7,0.2269,4.14,36.76,74.7,84.14,37.940000000000005,1850_1899,True,True,Iceland,both,True
ITA,Italy,1872,29.76,233.41,10.19,0.2122,4.94,29.76,75.19,84.94,45.42999999999999,1850_1899,True,True,Italy,both,True
ITA,Italy,1873,31.66,207.17,9.56,0.2255,4.68,31.66,74.56,84.68,42.900000000000006,1850_1899,True,True,Italy,both,True
ITA,Italy,1874,31.81,214.31,9.28,0.2246999999999999,4.57,31.81,74.28,84.57,42.47,1850_1899,True,True,Italy,both,True
ITA,Italy,1875,31.39,218.2,9.66,0.2244,4.96,31.39,74.66,84.96,43.269999999999996,1850_1899,True,True,Italy,both,True
ITA,Italy,1876,33.67,203.88,10.58,0.2498999999999999,5.32,33.67,75.58,85.32,41.91,1850_1899,True,True,Italy,both,True
ITA,Italy,1877,34.96,199.28,10.33,0.2603999999999999,4.94,34.96,75.33,84.94,40.37,1850_1899,True,True,Italy,both,True
ITA,Italy,1878,34.39,199.18,9.98,0.2517,4.84,34.39,74.98,84.84,40.59,1850_1899,True,True,Italy,both,True
