region_id,year,0,1,5,15,20,30,50,65,exp15
FRA,1868,39.817499999999995,48.08,50.9675,43.935,40.43,33.965,19.985,10.6525,58.935
FRA,1870,35.6325,43.7675,46.455,39.865,36.61749999999999,31.58,18.765,9.8675,54.865
FRA,1871,28.93,36.25,39.635000000000005,33.839999999999996,30.96,28.35,17.875,9.76,48.839999999999996
FRA,1915,39.9025,43.67,42.2625,33.620000000000005,30.32,29.7725,20.619999999999997,10.912500000000001,48.620000000000005
FRA,1918,35.875,41.0025,40.5775,32.6275,29.470000000000002,28.5225,20.365,10.9825,47.6275
GRC,1879,36.815,48.965,50.525,43.974999999999994,40.239999999999995,33.12,19.1,10.66,58.974999999999994
HTI,1950,35.96,45.695,49.875,42.955,39.725,33.595,20.045,11.03,57.955
HUN,1900,37.364999999999995,47.0,49.925,43.775000000000006,40.239999999999995,33.495000000000005,19.259999999999998,10.135,58.775000000000006
HUN,1910,39.785,48.64,51.135,44.61,41.04,34.185,19.575000000000003,10.149999999999999,59.61
IND,1901,23.96,32.46,35.605000000000004,29.72,27.174999999999997,22.865000000000002,13.295,7.525,44.72
IND,1911,24.005000000000003,32.695,36.010000000000005,30.085,27.509999999999998,23.14,13.465,7.645,45.085
IND,1921,27.595,35.224999999999994,37.36,31.28,28.61,24.045,14.015,7.94,46.28
IND,1931,30.93,38.095,39.675,33.325,30.509999999999998,25.6,14.969999999999999,8.469999999999999,48.325
IND,1941,35.010000000000005,41.754999999999995,42.835,36.135000000000005,33.125,27.755000000000003,16.33,9.225000000000001,51.135000000000005
LKA,1910,31.229999999999997,38.025000000000006,39.71,34.845,31.714999999999996,26.035,15.825,8.735,49.845
LKA,1920,33.165,40.47,42.379999999999995,37.015,33.69,27.75,16.695,8.78,52.015
NLD,1861,37.785,43.17,49.83,44.04,40.35,33.59,20.235,10.995000000000001,59.04
NLD,1866,37.785,43.17,49.83,44.04,40.35,33.59,20.235,10.995000000000001,59.04
NLD,1871,37.785,43.17,49.83,44.04,40.35,33.59,20.235,10.995000000000001,59.04
PER,1940,36.9,,45.41,39.565,36.21,30.165,17.975,9.98,54.565
RUS,1896,30.560000000000002,42.675,50.040000000000006,44.795,40.965,33.825,20.05,11.475,59.795
SVK,1900,37.58,46.305,50.385,43.965,40.2,33.04,18.740000000000002,10.024999999999999,58.965
SWE,1751,35.230000000000004,43.375,47.004999999999995,41.795,38.235,31.564999999999998,18.875,10.265,56.795
SWE,1778,37.265,44.745000000000005,49.05,43.825,40.144999999999996,33.269999999999996,19.68,10.09,58.825
SWE,1783,35.07,42.86,46.894999999999996,42.125,38.67,31.924999999999997,18.795,9.9,57.125
SWE,1788,35.33,44.105000000000004,46.775000000000006,40.86,37.245000000000005,30.744999999999997,18.5,10.02,55.86
SWE,1791,36.94,45.06,47.86,41.769999999999996,38.08,31.165,17.97,9.565,56.769999999999996
SWE,1793,38.835,47.83,50.495000000000005,44.185,40.295,32.989999999999995,19.21,10.145,59.185
SWE,1798,37.455,46.555,49.45,43.05,39.225,32.025,18.385,9.65,58.05
SWE,1803,39.22,47.59,49.375,42.68000000000001,38.974999999999994,31.990000000000002,18.36,9.899999999999999,57.68000000000001
SWE,1808,30.9,38.644999999999996,42.035,37.114999999999995,33.75,27.595,15.905,8.65,52.114999999999995
SWE,1813,39.06,47.14,49.665,43.03,39.215,32.125,18.655,9.965,58.03
SWE,1818,39.175,46.815,49.11,42.625,38.825,31.7,18.395,9.96,57.625
SWE,1828,39.04,46.505,48.245000000000005,41.275,37.295,30.18,17.439999999999998,9.379999999999999,56.275
TGO,1961,36.730000000000004,41.175,44.885,38.230000000000004,35.224999999999994,29.644999999999996,17.814999999999998,10.195,53.230000000000004
TWN,1906,23.085,31.759999999999998,37.325,31.91,28.625,23.119999999999997,14.04,8.395,46.91
TWN,1909,30.755000000000003,39.11,42.055,35.28,31.545,25.355,15.335,9.065,50.28
TWN,1914,30.705,38.975,41.845,34.985,31.305,25.229999999999997,14.945,8.64,49.985
TWN,1919,31.025,39.55,42.68,35.894999999999996,32.315,26.465,16.075,9.235,50.894999999999996
TWN,1924,38.66,46.375,47.644999999999996,40.005,36.095,29.195,17.3,9.760000000000002,55.005
ZAF,1940,36.519999999999996,48.415,47.825,40.629999999999995,37.555,31.73,20.085,11.745000000000001,55.629999999999995
