region_id,label,year,e0,imr,e65,exp_death_65,s_to_65,adult_gap_65
ISL,Iceland,1868,34.79,257.2,11.52,76.52,0.2214999999999999,41.73
ISL,Iceland,1869,28.17,309.61,8.73,73.73,0.1442999999999999,45.56
ISL,Iceland,1870,38.44,218.48,10.7,75.7,0.2515,37.260000000000005
ISL,Iceland,1871,35.14,246.18,10.57,75.57,0.2259,40.42999999999999
ISL,Iceland,1872,25.31,334.27,10.2,75.2,0.1565,49.89
ISL,Iceland,1873,36.69,196.32,9.18,74.18,0.2084,37.49000000000001
ISL,Iceland,1874,39.63,165.75,12.75,77.75,0.3106,38.12
ISL,Iceland,1875,36.61,180.41,13.2,78.2,0.2731,41.59
ISL,Iceland,1879,39.49,139.76,9.75,74.75,0.2239999999999999,35.26
ISL,Iceland,1881,35.96,224.48,11.8,76.8,0.2758,40.839999999999996
ISL,Iceland,1882,17.94,411.1,10.4,75.4,0.0992,57.46000000000001
ISL,Iceland,1883,29.78,271.23,10.33,75.33,0.1846,45.55
ISL,Iceland,1890,36.76,228.09,9.7,74.7,0.2269,37.940000000000005
ITA,Italy,1872,29.76,233.41,10.19,75.19,0.2122,45.42999999999999
ITA,Italy,1873,31.66,207.17,9.56,74.56,0.2255,42.900000000000006
ITA,Italy,1874,31.81,214.31,9.28,74.28,0.2246999999999999,42.47
ITA,Italy,1875,31.39,218.2,9.66,74.66,0.2244,43.269999999999996
ITA,Italy,1876,33.67,203.88,10.58,75.58,0.2498999999999999,41.91
ITA,Italy,1877,34.96,199.28,10.33,75.33,0.2603999999999999,40.37
ITA,Italy,1878,34.39,199.18,9.98,74.98,0.2517,40.59
ITA,Italy,1879,34.01,207.26,9.78,74.78,0.2487,40.77
ITA,Italy,1880,32.82,213.27,9.3,74.3,0.2307,41.48
ITA,Italy,1881,34.27,219.57,10.35,75.35,0.2666,41.07999999999999
ITA,Italy,1882,34.35,214.4,10.51,75.51,0.2739,41.160000000000004
ITA,Italy,1883,35.23,196.02,10.41,75.41,0.2822,40.18
ITA,Italy,1884,36.67,187.87,10.66,75.66,0.2930999999999999,38.989999999999995
ITA,Italy,1885,36.92,189.75,10.79,75.78999999999999,0.3005,38.86999999999999
ITA,Italy,1886,35.18,193.04,10.5,75.5,0.2706,40.32
ITA,Italy,1887,36.05,195.5,10.67,75.67,0.2853,39.620000000000005
ITA,Italy,1888,37.02,193.5,10.38,75.38,0.2974,38.35999999999999
ITA,Italy,1889,39.13,184.28,10.72,75.72,0.3289,36.589999999999996
ITA,Italy,1890,38.58,189.03,10.26,75.26,0.3173999999999999,36.68000000000001
ITA,Italy,1891,38.55,185.15,10.15,75.15,0.3254999999999999,36.60000000000001
ITA,Italy,1892,38.93,181.96,9.74,74.74,0.3214,35.809999999999995
ITA,Italy,1893,39.88,178.07,10.1,75.1,0.3356,35.21999999999999
ITA,Italy,1895,39.69,184.0,10.39,75.39,0.3337,35.7
ITA,Italy,1916,39.71,145.02,11.31,76.31,0.3265,36.6
ITA,Italy,1917,38.08,142.9,10.93,75.93,0.2935999999999999,37.85000000000001
ITA,Italy,1918,25.82,182.83,9.82,74.82,0.1328,48.99999999999999
NLD,Netherlands,1850,39.84,193.75,11.23,76.23,0.3109,36.39
NLD,Netherlands,1852,38.71,213.48,11.2,76.2,0.3024,37.49
NLD,Netherlands,1853,38.74,193.45,10.15,75.15,0.28,36.410000000000004
NLD,Netherlands,1854,38.72,193.26,10.54,75.53999999999999,0.286,36.81999999999999
NLD,Netherlands,1855,34.58,208.37,9.25,74.25,0.2322,39.67
NLD,Netherlands,1856,38.47,194.67,10.74,75.74,0.2937,37.269999999999996
NLD,Netherlands,1857,35.41,229.03,9.87,74.87,0.2536,39.46000000000001
NLD,Netherlands,1858,34.79,216.17,9.33,74.33,0.2305,39.54
NLD,Netherlands,1859,30.91,244.68,9.42,74.42,0.196,43.510000000000005
NLD,Netherlands,1860,37.0,197.59,10.59,75.59,0.2702,38.59
NLD,Netherlands,1861,36.51,215.98,10.54,75.53999999999999,0.2728,39.029999999999994
NLD,Netherlands,1862,38.37,199.51,10.94,75.94,0.2958,37.57
NLD,Netherlands,1863,38.31,206.39,11.03,76.03,0.301,37.72
NLD,Netherlands,1864,37.65,200.71,10.36,75.36,0.2816,37.71
NLD,Netherlands,1865,36.47,229.99,10.97,75.97,0.2802,39.5
NLD,Netherlands,1866,33.69,203.43,10.31,75.31,0.2191,41.620000000000005
NLD,Netherlands,1867,39.3,208.14,10.96,75.96000000000001,0.3136,36.66000000000001
NLD,Netherlands,1868,37.78,232.43,10.79,75.78999999999999,0.3031,38.00999999999999
NLD,Netherlands,1870,37.54,221.18,10.39,75.39,0.2874,37.85
NLD,Netherlands,1871,33.01,234.79,10.42,75.42,0.2347,42.410000000000004
NLD,Netherlands,1872,36.47,228.32,11.21,76.21000000000001,0.2862,39.74000000000001
NLD,Netherlands,1873,39.27,217.82,10.91,75.91,0.3157999999999999,36.63999999999999
