state,fire_year,size_class,cause_class,n,acres
OR,2003,E,Human,11,5459.5
OR,2003,E,Missing data/not specified/undetermined,1,700.0
OR,2003,E,Natural,6,3600.0
OR,2003,F,Human,4,16354.0
OR,2003,F,Natural,5,14090.0
OR,2003,G,Human,1,21135.0
OR,2003,G,Natural,3,101273.0
OR,2004,A,Human,796,70.49000000000001
OR,2004,A,Missing data/not specified/undetermined,1,0.1
OR,2004,A,Natural,992,106.47
OR,2004,B,Human,219,430.18
OR,2004,B,Natural,213,266.51
OR,2004,C,Human,20,539.67
OR,2004,C,Natural,13,563.12
OR,2004,D,Human,6,1302.0
OR,2004,D,Natural,1,216.2
OR,2004,E,Human,2,1308.0
OR,2004,E,Natural,3,1225.0
OR,2004,F,Human,2,6585.0
OR,2004,F,Natural,1,4232.0
OR,2004,G,Human,1,13539.0
OR,2005,A,Human,784,65.97
OR,2005,A,Missing data/not specified/undetermined,1,0.1
OR,2005,A,Natural,404,43.660000000000004
OR,2005,B,Human,252,439.55
OR,2005,B,Natural,177,243.9
OR,2005,C,Human,36,1119.5
OR,2005,C,Natural,30,1102.8
OR,2005,D,Human,8,1333.0
OR,2005,D,Natural,9,1629.0
OR,2005,E,Human,7,3860.9
OR,2005,E,Natural,10,5230.6
OR,2005,F,Human,11,21403.3
OR,2005,F,Missing data/not specified/undetermined,1,1548.0
OR,2005,F,Natural,10,23710.0
OR,2005,G,Natural,4,77647.0
OR,2006,A,Human,1059,82.18
OR,2006,A,Missing data/not specified/undetermined,1,0.1
OR,2006,A,Natural,1166,125.06
OR,2006,B,Human,329,649.53
OR,2006,B,Natural,413,688.74
OR,2006,C,Human,43,1193.4
OR,2006,C,Natural,72,2512.41
OR,2006,D,Human,7,1077.7
OR,2006,D,Natural,27,4318.7
OR,2006,E,Human,2,1410.0
OR,2006,E,Natural,23,13833.7
OR,2006,F,Human,3,7203.0
OR,2006,F,Natural,19,40227.9
OR,2006,G,Human,3,58984.2
OR,2006,G,Natural,17,368262.2
OR,2007,A,Human,940,76.88
OR,2007,A,Missing data/not specified/undetermined,1,0.1
OR,2007,A,Natural,751,82.14
OR,2007,B,Human,315,578.48
OR,2007,B,Missing data/not specified/undetermined,8,14.6
OR,2007,B,Natural,277,411.34
OR,2007,C,Human,59,1952.05
OR,2007,C,Missing data/not specified/undetermined,2,55.0
OR,2007,C,Natural,62,2288.7
OR,2007,D,Human,17,2660.9
OR,2007,D,Natural,24,4277.1
OR,2007,E,Human,5,2657.0
OR,2007,E,Natural,16,8440.6
OR,2007,F,Human,3,6565.0
