id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
14070790,JK100020,2025-12-31T23:44:00.000,011XX W CHESTNUT ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,1213,012,27,24,08B,1168708,1906291,2025,2026-03-14T15:41:39.000,41.898388369,-87.65579031,"{'latitude': '41.898388369', 'longitude': '-87.65579031', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14071314,JK100467,2025-12-31T23:40:00.000,003XX N STATE ST,0460,BATTERY,SIMPLE,BAR OR TAVERN,False,False,1831,018,42,8,08B,1176295,1902683,2025,2026-03-14T15:41:39.000,41.888320033,-87.628033006,"{'latitude': '41.888320033', 'longitude': '-87.628033006', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14070890,JK100047,2025-12-31T23:40:00.000,068XX S HARPER AVE,0320,ROBBERY,STRONG ARM - NO WEAPON,RESIDENCE - PORCH / HALLWAY,False,False,0332,003,5,43,03,1187562,1860004,2025,2026-03-14T15:41:39.000,41.770944848,-87.588017121,"{'latitude': '41.770944848', 'longitude': '-87.588017121', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14070769,JJ540674,2025-12-31T23:40:00.000,027XX W 71ST ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,0831,008,17,66,15,1159146,1857446,2025,2026-03-14T15:41:39.000,41.764553844,-87.692249695,"{'latitude': '41.764553844', 'longitude': '-87.692249695', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14077012,JK107087,2025-12-31T23:30:00.000,001XX N MICHIGAN AVE,0320,ROBBERY,STRONG ARM - NO WEAPON,SIDEWALK,False,False,0111,001,34,32,03,1177270,1901551,2025,2026-03-14T15:41:39.000,41.885191719,-87.624486846,"{'latitude': '41.885191719', 'longitude': '-87.624486846', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14075391,JK105338,2025-12-31T23:30:00.000,028XX W 85TH PL,0460,BATTERY,SIMPLE,RESIDENCE,False,False,0835,008,18,70,08B,1158722,1847962,2025,2026-03-14T15:41:39.000,41.738536927,-87.694062059,"{'latitude': '41.738536927', 'longitude': '-87.694062059', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14073744,JK103358,2025-12-31T23:30:00.000,003XX E ILLINOIS ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,BOWLING ALLEY,False,True,1834,018,2,8,08B,1178708,1903688,2025,2026-03-14T15:41:39.000,41.891023035,-87.619141016,"{'latitude': '41.891023035', 'longitude': '-87.619141016', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14075482,JK105561,2025-12-31T23:30:00.000,073XX S KIMBARK AVE,0810,THEFT,OVER $500,STREET,False,False,0324,003,5,43,06,1186147,1856627,2025,2026-03-14T15:41:39.000,41.761711585,-87.593310416,"{'latitude': '41.761711585', 'longitude': '-87.593310416', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14071123,JK100418,2025-12-31T23:30:00.000,015XX N KINGSBURY ST,0460,BATTERY,SIMPLE,SIDEWALK,False,False,1822,018,27,8,08B,1169525,1910220,2025,2026-03-14T15:41:39.000,41.909152038,-87.652675042,"{'latitude': '41.909152038', 'longitude': '-87.652675042', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14070750,JJ540666,2025-12-31T23:30:00.000,031XX W LEXINGTON ST,0820,THEFT,$500 AND UNDER,APARTMENT,False,True,1134,011,24,27,06,1155568,1896532,2025,2026-03-14T15:41:39.000,41.87188334,-87.704315401,"{'latitude': '41.87188334', 'longitude': '-87.704315401', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14070821,JK100040,2025-12-31T23:30:00.000,051XX S CALUMET AVE,0560,ASSAULT,SIMPLE,APARTMENT,False,True,0231,002,3,40,08A,1179365,1870976,2025,2026-03-14T15:41:39.000,41.801244072,-87.617729246,"{'latitude': '41.801244072', 'longitude': '-87.617729246', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14070778,JK100019,2025-12-31T23:28:00.000,003XX W WOLF POINT PLZ,1330,CRIMINAL TRESPASS,TO LAND,HOTEL / MOTEL,True,False,1831,018,42,8,26,1173778,1902508,2025,2026-03-14T15:41:39.000,41.88789622,-87.637281436,"{'latitude': '41.88789622', 'longitude': '-87.637281436', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14070933,JJ540676,2025-12-31T23:25:00.000,017XX W 21ST PL,0454,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",APARTMENT,True,True,1234,012,25,31,08B,1165162,1889790,2025,2026-03-14T15:41:39.000,41.853184362,-87.669283371,"{'latitude': '41.853184362', 'longitude': '-87.669283371', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14093462,JK128336,2025-12-31T23:20:00.000,113XX S EWING AVE,0710,THEFT,THEFT FROM MOTOR VEHICLE,STREET,False,False,0433,004,10,52,06,1202223,1830408,2025,2026-03-14T15:41:39.000,41.689370123,-87.535282452,"{'latitude': '41.689370123', 'longitude': '-87.535282452', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14070735,JJ540655,2025-12-31T23:20:00.000,006XX N WESTERN AVE,033A,ROBBERY,ATTEMPT ARMED - HANDGUN,CTA BUS,False,False,1221,012,36,24,03,1160297,1904021,2025,2026-03-14T15:41:39.000,41.892337422,-87.686746115,"{'latitude': '41.892337422', 'longitude': '-87.686746115', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14070851,JK100034,2025-12-31T23:19:00.000,060XX N KIMBALL AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,1711,017,50,13,05,1152614,1939957,2025,2026-03-14T15:41:39.000,41.99110394,-87.714009156,"{'latitude': '41.99110394', 'longitude': '-87.714009156', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14070751,JJ540658,2025-12-31T23:06:00.000,006XX N CENTRAL PARK AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,RESIDENCE - PORCH / HALLWAY,False,False,1121,011,27,23,04A,1152269,1904032,2025,2026-03-14T15:41:39.000,41.892529831,-87.716229454,"{'latitude': '41.892529831', 'longitude': '-87.716229454', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14070794,JK100018,2025-12-31T23:01:00.000,067XX S ABERDEEN ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,0724,007,16,68,08B,1170144,1860111,2025,2026-03-14T15:41:39.000,41.771634934,-87.651861652,"{'latitude': '41.771634934', 'longitude': '-87.651861652', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14070736,JJ540657,2025-12-31T23:01:00.000,021XX N ASHLAND AVE,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,STREET,False,False,1432,014,32,22,14,1165183,1914408,2025,2026-03-14T15:41:39.000,41.920737619,-87.668506257,"{'latitude': '41.920737619', 'longitude': '-87.668506257', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14255635,JK325573,2025-12-31T23:00:00.000,009XX W BELLE PLAINE AVE,0810,THEFT,OVER $500,APARTMENT,False,False,1915,019,46,3,06,1169249,1927520,2025,2026-07-11T15:41:46.000,41.956630056,-87.653184766,"{'latitude': '41.956630056', 'longitude': '-87.653184766', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14089547,JK123337,2025-12-31T23:00:00.000,020XX E 72ND ST,0810,THEFT,OVER $500,APARTMENT,False,False,0333,003,5,43,06,1191058,1857629,2025,2026-03-14T15:41:39.000,41.76434381,-87.575279025,"{'latitude': '41.76434381', 'longitude': '-87.575279025', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14072213,JK101748,2025-12-31T23:00:00.000,085XX S EAST END AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,0412,004,8,45,14,1189085,1848518,2025,2026-03-14T15:41:39.000,41.739389881,-87.582801756,"{'latitude': '41.739389881', 'longitude': '-87.582801756', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14071921,JK101352,2025-12-31T23:00:00.000,045XX S DREXEL BLVD,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,False,False,0221,002,4,39,14,1182957,1875015,2025,2026-03-14T15:41:39.000,41.812244589,-87.604430616,"{'latitude': '41.812244589', 'longitude': '-87.604430616', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14072087,JK101473,2025-12-31T23:00:00.000,016XX N MERRIMAC AVE,0920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,STREET,False,False,2513,025,29,25,07,1134390,1910320,2025,2026-03-14T15:41:39.000,41.910118996,-87.781744243,"{'latitude': '41.910118996', 'longitude': '-87.781744243', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
